chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|1| 2| I found myself getting upset by quite trivial things, but only to some degree. The stress of my work and relationships with my advisors and dissertation committee sometimes made me more sensitive to minor irritations and frustrations.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|2| 1| Dryness of my mouth did not apply to me at all. I did not notice any physical symptoms or discomfort in relation to my anxiety and stress levels.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|3| 2| I couldn't seem to experience any positive feeling at all, but only to some degree. There were moments when the weight of my academic responsibilities and strained relationships made it difficult for me to find joy or satisfaction in my day-to-day life.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|4| 1| Experiencing breathing difficulty did not apply to me at all. I did not experience any physical symptoms of anxiety or panic, such as rapid breathing or breathlessness.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|5| 3| I just couldn't seem to get going to a considerable degree. There were times when I felt overwhelmed by the demands of my PhD program and lacked the motivation and energy to start or complete tasks.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|6| 3| I tended to over-react to situations to a considerable degree. The stress and pressure I faced often resulted in heightened emotional responses, causing me to react more strongly than necessary in certain situations.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|7| 1| I had a feeling of shakiness did not apply to me at all. I did not experience any physical symptoms like trembling or feeling unsteady due to my anxiety or stress levels.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|8| 3| I found it difficult to relax to a considerable degree. The constant pressure to perform well in my research and meet the expectations of my advisors and dissertation committee made it challenging for me to unwind and find moments of true relaxation.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|9| 4| I found myself in situations that made me so anxious I was most relieved when they ended very much. The tense dynamics with my advisors and dissertation committee often put me in stressful situations, and the only relief I felt was when those interactions came to an end.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|10| 3| I felt that I had nothing to look forward to to a considerable degree. The constant challenges and strained relationships in my academic journey dampened my sense of optimism and made it difficult for me to envision a positive future.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|11| 4| I found myself getting upset rather easily very much. The combination of high stress and strained relationships caused me to have a shorter fuse, and I would often become agitated or upset over minor issues that wouldn't usually bother me.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|12| 2| I felt that I was using a lot of nervous energy, but only to some degree. The pressure and anxiety surrounding my work consumed a significant part of my mental and emotional energy, leaving me feeling drained and exhausted at times.
chatcmpl-8MaC7ubtKis2Tl87A9e8vaRixkYBQ|13| 3| I felt sad and depressed to a considerable degree. The challenges and strained relationships in my PhD journey often left me feeling downhearted and overwhelmed with a sense of sadness and hopelessness.
